timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381183713,3213,-518,-13882,702,98,896,26.3,172,304,3838,58
1776381183714,3045,-564,-14679,801,-12,983,26.3,172,304,3838,58
1776381183759,2241,-574,-14768,804,-148,1004,26.3,172,304,3838,58
1776381183759,2021,-318,-14990,630,-115,941,26.3,172,304,3838,58
1776381183759,2323,204,-15570,403,20,841,26.3,172,304,3838,58
1776381183800,2772,621,-16475,299,141,755,26.3,172,304,3838,58
1776381183800,2933,1132,-16854,357,244,691,26.3,172,304,3838,58
1776381183841,2992,1586,-16997,419,346,615,26.3,172,304,3838,58
1776381183841,2819,1916,-17520,377,438,507,26.3,172,304,3838,58
1776381183883,2963,2005,-17813,223,470,372,26.3,172,304,3838,58
1776381183883,3623,1876,-18500,73,453,266,26.3,172,304,3838,58
1776381183926,4010,1950,-19189,37,408,188,26.3,172,304,3838,58
1776381183926,4476,2037,-19414,59,389,100,26.3,172,304,3838,58
1776381183926,5325,1796,-19856,51,375,-4,26.3,172,304,3838,58
1776381183967,6129,879,-20702,-240,196,-149,26.3,172,304,3838,58
1776381183967,5880,711,-21292,-495,182,-223,26.3,172,304,3838,58
1776381184008,5910,327,-22069,-541,283,-326,26.3,172,304,3838,58
1776381184008,6197,-16,-22106,-434,336,-371,26.3,172,304,3838,58
1776381184051,5670,76,-21099,-347,407,-478,26.31,172,306,3850,58
1776381184051,5397,-325,-19952,-387,523,-712,26.31,172,306,3850,58
1776381184092,5289,-1067,-18579,-545,564,-973,26.31,172,306,3850,58
1776381184092,5615,-1667,-17897,-699,427,-1182,26.31,172,306,3850,58
1776381184092,6065,-2345,-17887,-806,100,-1292,26.31,172,306,3850,58
1776381184139,6337,-2695,-18559,-867,-449,-1328,26.31,172,306,3850,58
1776381184139,6306,-3055,-18974,-887,-895,-1366,26.31,172,306,3850,58
1776381184181,6116,-3649,-19371,-875,-893,-1434,26.31,172,306,3850,58
1776381184346,5003,-3777,-19016,-889,-596,-1525,26.31,172,306,3850,58
1776381184346,3740,-3504,-17935,-1010,-266,-1658,26.31,172,306,3850,58
1776381184346,3449,-3316,-16988,-1228,-91,-1774,26.31,172,306,3850,58
1776381184346,3559,-3373,-16252,-1466,-136,-1759,26.31,172,306,3850,58
1776381184346,3238,-3409,-15531,-1642,-214,-1634,26.31,172,306,3850,58
1776381184346,2877,-3706,-14821,-1719,-162,-1454,26.31,172,306,3850,58
1776381184346,2078,-3909,-13912,-1674,0,-1233,26.31,172,306,3850,58
1776381184346,1117,-3841,-13301,-1512,133,-1012,26.31,172,306,3850,58
1776381184386,842,-3703,-12188,-1338,179,-840,26.31,172,306,3850,58
1776381184386,1289,-4125,-11766,-1220,244,-680,26.31,172,306,3850,58
1776381184426,1373,-4006,-11627,-1080,286,-564,26.31,172,306,3850,58
1776381184426,1513,-4190,-11655,-947,196,-544,26.31,172,306,3850,58
1776381184467,1986,-4635,-11803,-877,15,-506,26.31,172,306,3850,58
1776381184467,2654,-5457,-12612,-791,-218,-361,26.31,172,306,3850,58
1776381184467,2630,-6019,-13907,-529,-453,-157,26.31,172,306,3850,58
1776381184507,1889,-6337,-14514,-101,-516,-31,26.31,172,306,3850,58
